Metric,Value
PixCorr,-0.004396385978907347
SSIM,0.07109093923255301
AlexNet(2),0.49867440638942345
AlexNet(5),0.49797268259870325
InceptionV3,0.505549431043181
CLIP,0.500702761843665
EffNet-B,1.0002163648605347
SwAV,0.6955363750457764
FwdRetrieval,0.003777777838210265
BwdRetrieval,0.006111111212521792
Brain Corr. nsd_general,0.777419924736023
Brain Corr. V1,0.8377311825752258
Brain Corr. V2,0.8207879662513733
Brain Corr. V3,0.8034217357635498
Brain Corr. V4,0.7878846526145935
Brain Corr. higher_vis,0.7610089182853699
