Metric,Value
PixCorr,0.049368780106306076
SSIM,0.2799156877465527
AlexNet(2),0.6029520149645713
AlexNet(5),0.6414046102007387
InceptionV3,0.6093962476462149
CLIP,0.6361645189351238
EffNet-B,0.9493061900138855
SwAV,0.6157744526863098
FwdRetrieval,0.013666666904464364
BwdRetrieval,0.016777778168519338
Brain Corr. nsd_general,0.7694472074508667
Brain Corr. V1,0.8301328420639038
Brain Corr. V2,0.8133249282836914
Brain Corr. V3,0.7949730157852173
Brain Corr. V4,0.7786585688591003
Brain Corr. higher_vis,0.7530534863471985
