Metric,Value
PixCorr,-0.009679222479462624
SSIM,0.09501711778250277
AlexNet(2),0.4986406406406406
AlexNet(5),0.4978008008008008
InceptionV3,0.5075455455455455
CLIP,0.5012932932932933
EffNet-B,0.9954562187194824
SwAV,0.6946171522140503
FwdRetrieval,0.004444444521019856
BwdRetrieval,0.003777777838210265
Brain Corr. nsd_general,0.8162940144538879
Brain Corr. V1,0.8621786236763
Brain Corr. V2,0.8460307121276855
Brain Corr. V3,0.8325506448745728
Brain Corr. V4,0.820716381072998
Brain Corr. higher_vis,0.8048281073570251
