Metric,Value
PixCorr,0.04328104108572006
SSIM,0.28170449148795046
AlexNet(2),0.5932462199302013
AlexNet(5),0.6362153835294215
InceptionV3,0.6092727193457775
CLIP,0.6370956524266563
EffNet-B,0.9439646005630493
SwAV,0.6068359017372131
FwdRetrieval,0.014111111359670758
BwdRetrieval,0.010444444557651877
Brain Corr. nsd_general,0.7694472074508667
Brain Corr. V1,0.8301328420639038
Brain Corr. V2,0.8133249282836914
Brain Corr. V3,0.7949730157852173
Brain Corr. V4,0.7786585688591003
Brain Corr. higher_vis,0.7530534863471985
