Metric,Value
PixCorr,0.023187890648841858
SSIM,0.22297091271753453
AlexNet(2),0.5746131695701008
AlexNet(5),0.6067917728075802
InceptionV3,0.582677802898659
CLIP,0.6015423390654617
EffNet-B,0.9629080295562744
SwAV,0.6334212422370911
FwdRetrieval,0.009222222228224079
BwdRetrieval,0.007000000138456623
Brain Corr. nsd_general,0.7694472074508667
Brain Corr. V1,0.8301328420639038
Brain Corr. V2,0.8133249282836914
Brain Corr. V3,0.7949730157852173
Brain Corr. V4,0.7786585688591003
Brain Corr. higher_vis,0.7530534863471985
